team,salary,player,position,season
LA Clippers,4.00E+06,Ryan Gomes, SF,2010-2011
New Orleans Hornets,3976000,Willie Green, SG,2010-2011
Cleveland Cavaliers,3964320,Ramon Sessions, G,2010-2011
Sacramento Kings,3880920,Tyreke Evans, SG,2010-2011
Minnesota Timberwolves,3875000,Corey Brewer, F,2010-2011
New Jersey Nets,3750000,Jordan Farmar, PG,2010-2011
Minnesota Timberwolves,3726600,Wesley Johnson, SF,2010-2011
Utah Jazz,3700000,CJ Miles, SF,2010-2011
Los Angeles Lakers,3700000,Derek Fisher, PG,2010-2011
Minnesota Timberwolves,3638280,Kevin Love, PF,2010-2011
Chicago Bulls,3600000,C.J. Watson, PG,2010-2011
Memphis Grizzlies,3573333,Marc Gasol, C,2010-2011
New York Knicks,3567096,Timofey Mozgov, C,2010-2011
Golden State Warriors,3540000,Dorell Wright, SF,2010-2011
Orlando Magic,3500000,Chris Duhon, PG,2010-2011
Miami Heat,3500000,Udonis Haslem, PF,2010-2011
Charlotte Bobcats,3500000,Shaun Livingston, PG,2010-2011
San Antonio Spurs,3400000,Tiago Splitter, C,2010-2011
New Jersey Nets,3398072,Brandan Wright, F,2010-2011
Sacramento Kings,3374640,DeMarcus Cousins, C,2010-2011
New York Knicks,3304560,Danilo Gallinari, SF,2010-2011
Miami Heat,3300000,Joel Anthony, PF,2010-2011
Cleveland Cavaliers,3300000,Kelenna Azubuike, SF,2010-2011
Oklahoma City Thunder,3250000,Thabo Sefolosha, SF,2010-2011
Detroit Pistons,3250000,Will Bynum, PG,2010-2011
New Jersey Nets,3250000,Johan Petro, C,2010-2011
Phoenix Suns,3240000,Grant Hill, SF,2010-2011
New Jersey Nets,3200000,Kris Humphries, PF,2010-2011
Minnesota Timberwolves,3192000,Jonny Flynn, PG,2010-2011
Chicago Bulls,3128536,Joakim Noah, C,2010-2011
Golden State Warriors,3065040,Ekpe Udoh, C,2010-2011
San Antonio Spurs,3050000,Matt Bonner, C,2010-2011
LA Clippers,3016680,Eric Gordon, SG,2010-2011
Boston Celtics,3000004,Glen Davis, PF,2010-2011
Utah Jazz,3.00E+06,Raja Bell, SG,2010-2011
LA Clippers,3.00E+06,Jamario Moon, SF,2010-2011
Charlotte Bobcats,3.00E+06,Eduardo Najera, PF,2010-2011
Memphis Grizzlies,3.00E+06,Tony Allen, SG,2010-2011
Detroit Pistons,3.00E+06,Chris Wilcox, PF,2010-2011
Philadelphia 76ers,2974320,Spencer Hawes, PF,2010-2011
Golden State Warriors,2913840,Stephen Curry, PG,2010-2011
Philadelphia 76ers,2901241,Thaddeus Young, PF,2010-2011
Toronto Raptors,2858057,Julian Wright, SF,2010-2011
Cleveland Cavaliers,2855769,Anthony Parker, SG,2010-2011
Minnesota Timberwolves,2840000,Mark Madsen, PF,2010-2011
Detroit Pistons,2798040,Greg Monroe, C,2010-2011
Detroit Pistons,2767126,Rodney Stuckey, PG,2010-2011
Minnesota Timberwolves,2700000,Sebastian Telfair, PG,2010-2011
Houston Rockets,2669520,Jordan Hill, C,2010-2011
Washington Wizards,2630503,Nick Young, G,2010-2011
LA Clippers,2563320,Al-Farouq Aminu, PF,2010-2011
Charlotte Bobcats,2540000,D.J. Augustin, PG,2010-2011
Washington Wizards,2500000,Maurice Evans, SG,2010-2011
Indiana Pacers,2500000,Dahntay Jones, SG,2010-2011
Toronto Raptors,2500000,David Andersen, C,2010-2011
Toronto Raptors,2453880,DeMar DeRozan, SG,2010-2011
New Jersey Nets,2413320,Brook Lopez, C,2010-2011
LA Clippers,2400000,Ricky Davis, SG,2010-2011
Boston Celtics,2388000,Marquis Daniels, SG,2010-2011
New Orleans Hornets,2380270,Marco Belinelli, G,2010-2011
Utah Jazz,2356320,Gordon Hayward, SF,2010-2011
Cleveland Cavaliers,2333333,Ryan Hollins, C,2010-2011
Milwaukee Bucks,2331120,Brandon Jennings, G,2010-2011
Milwaukee Bucks,2320500,Ersan Ilyasova, PF,2010-2011
LA Clippers,2300000,Craig Smith, PF,2010-2011
Toronto Raptors,2292600,Jerryd Bayless, PG,2010-2011
Orlando Magic,2265000,Quentin Richardson, SF,2010-2011
Indiana Pacers,2238360,Paul George, SF,2010-2011
Golden State Warriors,2225000,Lou Amundson, PF,2010-2011
New Jersey Nets,2214480,Terrence Williams, SG,2010-2011
Minnesota Timberwolves,2200000,Anthony Tolliver, PF,2010-2011
New Orleans Hornets,2187913,Jason Smith, PF,2010-2011
Sacramento Kings,2178000,Jason Thompson, PF,2010-2011
Oklahoma City Thunder,2169857,Daequan Cook, SG,2010-2011
Phoenix Suns,2151068,Jared Dudley, SF,2010-2011
Los Angeles Lakers,2149200,Shannon Brown, PG,2010-2011
New York Knicks,2130482,Wilson Chandler, SF,2010-2011
Oklahoma City Thunder,2126520,Cole Aldrich, C,2010-2011
Charlotte Bobcats,2103840,Gerald Henderson, SG,2010-2011
Milwaukee Bucks,2080000,Keyon Dooling, PG,2010-2011
Detroit Pistons,2080000,Ben Wallace, PF,2010-2011
Indiana Pacers,2069040,Brandon Rush, SG,2010-2011
Orlando Magic,2062800,Anthony Johnson, PG,2010-2011
Houston Rockets,2062800,Brent Barry, SG,2010-2011
Memphis Grizzlies,2020200,Xavier Henry, SG,2010-2011
Phoenix Suns,2016692,Aaron Brooks, G,2010-2011
Indiana Pacers,1998600,Tyler Hansbrough, PF,2010-2011
Toronto Raptors,1990000,Rasho Nesterovic, C,2010-2011
Houston Rockets,1972500,Chuck Hayes, PF,2010-2011
Phoenix Suns,1972000,Goran Dragic, PG,2010-2011
New York Knicks,1965720,Anthony Randolph, SF,2010-2011
Denver Nuggets,1959577,Arron Afflalo, G,2010-2011
Toronto Raptors,1919160,Ed Davis, PF,2010-2011
Phoenix Suns,1898760,Earl Clark, SF,2010-2011
Phoenix Suns,1867320,Robin Lopez, C,2010-2011
Houston Rockets,1823280,Patrick Patterson, PF,2010-2011
Houston Rockets,1823280,Dikembe Mutombo, C,2010-2011
Dallas Mavericks,1815000,J.J. Barea, PG,2010-2011
Detroit Pistons,1803720,Austin Daye, SF,2010-2011
Chicago Bulls,1800000,Kurt Thomas, PF,2010-2011
Philadelphia 76ers,1773960,Marreese Speights, F,2010-2011
Los Angeles Lakers,1765000,Matt Barnes, SF,2010-2011
Milwaukee Bucks,1731960,Larry Sanders, PF,2010-2011
Chicago Bulls,1721000,Omer Asik, C,2010-2011
Toronto Raptors,1713600,James Johnson, PF,2010-2011
Indiana Pacers,1685280,Roy Hibbert, C,2010-2011
New York Knicks,1675000,Renaldo Balkman, SF,2010-2011
Portland Trail Blazers,1645440,Luke Babbitt, F,2010-2011
Boston Celtics,1629120,Sean Williams, PF,2010-2011
Philadelphia 76ers,1627920,Jrue Holiday, PG,2010-2011
Washington Wizards,1601040,JaVale McGee, C,2010-2011
Memphis Grizzlies,1600000,Hamed Haddadi, C,2010-2011
Chicago Bulls,1600000,Keith Bogans, SG,2010-2011
Washington Wizards,1563120,Kevin Seraphin, C,2010-2011
Denver Nuggets,1546560,Ty Lawson, G,2010-2011
Cleveland Cavaliers,1528920,JJ Hickson, C,2010-2011
Indiana Pacers,1500000,Solomon Jones, PF,2010-2011
LA Clippers,1485000,Eric Bledsoe, PG,2010-2011
Atlanta Hawks,1476840,Jeff Teague, PG,2010-2011
Toronto Raptors,1467840,Alexis Ajinca, C,2010-2011
Boston Celtics,1418160,Avery Bradley, SG,2010-2011
Oklahoma City Thunder,1417800,Eric Maynor, PG,2010-2011
Orlando Magic,1409040,Ryan Anderson, PF,2010-2011
New York Knicks,1400000,Roger Mason Jr., SG,2010-2011
Utah Jazz,1381250,Ronnie Price, PG,2010-2011
San Antonio Spurs,1361400,James Anderson, SG,2010-2011
Indiana Pacers,1361040,Darren Collison, PG,2010-2011
Houston Rockets,1352640,Courtney Lee, SG,2010-2011
Miami Heat,1352181,Eddie House, SG,2010-2011
Miami Heat,1352181,Zydrunas Ilgauskas, C,2010-2011
Boston Celtics,1352181,Shaquille O'Neal, C,2010-2011
Milwaukee Bucks,1350000,Roko-Leni Ukic, PG,2010-2011
Philadelphia 76ers,1306920,Craig Brackins, PF,2010-2011
Minnesota Timberwolves,1298640,Kosta Koufos, C,2010-2011
Golden State Warriors,1254720,Elliot Williams, SG,2010-2011
Sacramento Kings,1254480,Omri Casspi, SF,2010-2011
Portland Trail Blazers,1246680,Rudy Fernandez, SG,2010-2011
Washington Wizards,1204560,Trevor Booker, F,2010-2011
Oklahoma City Thunder,1204200,Serge Ibaka, PF,2010-2011
Oklahoma City Thunder,1204200,Byron Mullens, C,2010-2011
Oklahoma City Thunder,1200000,Royal Ivey, PG,2010-2011
Portland Trail Blazers,1196760,Nicolas Batum, SF,2010-2011
New Jersey Nets,1156320,Damion James, SF,2010-2011
Dallas Mavericks,1156080,Rodrigue Beaubois, PG,2010-2011
LA Clippers,1146337,Brian Cook, PF,2010-2011
Miami Heat,1146337,James Jones, SG,2010-2011
Memphis Grizzlies,1123680,Darrell Arthur, F,2010-2011
Chicago Bulls,1117680,Taj Gibson, PF,2010-2011
Dallas Mavericks,1110120,Dominique Jones, SG,2010-2011
Charlotte Bobcats,1108680,D.J. White, PF,2010-2011
Utah Jazz,1087500,Kyrylo Fesenko, C,2010-2011
Memphis Grizzlies,1085400,DeMarre Carroll, SF,2010-2011
Minnesota Timberwolves,1078800,Wayne Ellington, SG,2010-2011
New Orleans Hornets,1073280,Quincy Pondexter, SF,2010-2011
Minnesota Timberwolves,1071720,Alando Tucker, SF,2010-2011
New York Knicks,1071000,Toney Douglas, PG,2010-2011
Washington Wizards,1042320,Jordan Crawford, G,2010-2011
Memphis Grizzlies,1035960,Greivis Vasquez, PG,2010-2011
New Jersey Nets,1033342,Quinton Ross, SF,2010-2011
Washington Wizards,1030189,James Singleton, F,2010-2011
Cleveland Cavaliers,1029389,Jawad Williams, SF,2010-2011
New Orleans Hornets,1028840,Aaron Gray, C,2010-2011
Washington Wizards,1028400,Daniel Orton, C,2010-2011
Cleveland Cavaliers,1020960,Christian Eyenga, SF,2010-2011
Minnesota Timberwolves,1020960,Lazar Hayward, SF,2010-2011
Milwaukee Bucks,1.00E+06,Jon Brockman, PF,2010-2011
New Jersey Nets,992680,Stephen Graham, SF,2010-2011
Cleveland Cavaliers,992680,Joey Graham, SF,2010-2011
Portland Trail Blazers,937195,Patty Mills, PG,2010-2011
Sacramento Kings,930700,Donte Greene, SF,2010-2011
San Antonio Spurs,918000,DeJuan Blair, C,2010-2011
Memphis Grizzlies,886000,Sam Young, SF,2010-2011
Dallas Mavericks,885120,Ian Mahinmi, C,2010-2011
New Orleans Hornets,885120,Pops Mensah-Bonsu, PF,2010-2011
Miami Heat,885120,Alexander Johnson, SF,2010-2011
Indiana Pacers,885120,Josh McRoberts, PF,2010-2011
Atlanta Hawks,884881,Salim Stoudamire, SG,2010-2011
San Antonio Spurs,855189,Marcus Haislip, F,2010-2011
Sacramento Kings,855189,Quincy Douby, SG,2010-2011
New York Knicks,855189,Mouhamed Sene, C,2010-2011
Golden State Warriors,855189,Tarence Kinsey, SG,2010-2011
San Antonio Spurs,854389,Malik Hairston, SG,2010-2011
Utah Jazz,854389,Dwayne Jones II, PF,2010-2011
Memphis Grizzlies,854389,Darius Miles, SF,2010-2011
Washington Wizards,854389,Javaris Crittenton, PG,2010-2011
Miami Heat,854389,Mario Chalmers, G,2010-2011
Utah Jazz,854389,Kyle Weaver, SG,2010-2011
Sacramento Kings,854389,Antoine Wright, SF,2010-2011
Atlanta Hawks,854389,Etan Thomas, C,2010-2011
Golden State Warriors,825497,Mikki Moore, C,2010-2011
LA Clippers,825497,Kareem Rush, SG,2010-2011
Washington Wizards,825497,Paul Davis, C,2010-2011
Oklahoma City Thunder,825497,Kevin Ollie, PG,2010-2011
Oklahoma City Thunder,825497,Ryan Bowen, SF,2010-2011
Boston Celtics,825497,Gabe Pruitt, PG,2010-2011
San Antonio Spurs,804131,Chris Quinn, PG,2010-2011
Portland Trail Blazers,799105,Sean Marks, PF,2010-2011
Houston Rockets,780871,Chase Budinger, SF,2010-2011
Sacramento Kings,780871,Jermaine Taylor, SG,2010-2011
Charlotte Bobcats,762195,Derrick Brown, SF,2010-2011
Charlotte Bobcats,762195,Dante Cunningham, SF,2010-2011
New Orleans Pelicans,762195,Darryl Watkins, C,2010-2011
Utah Jazz,762195,Brian Butch, C,2010-2011
Memphis Grizzlies,762195,Tony Gaffney, SF,2010-2011
Portland Trail Blazers,762195,Greg Stiemsma, C,2010-2011
Philadelphia 76ers,762195,Jodie Meeks, SG,2010-2011
null Unknown,762195,Curtis Jerrells, NA,2010-2011
Milan Olimpia,762195,Oliver Lafayette, G,2010-2011
Indiana Pacers,750000,Lance Stephenson, SG,2010-2011
LA Clippers,736420,Mike Taylor, PG,2010-2011
Charlotte Hornets,736420,Dontell Jefferson, SG,2010-2011
New York Knicks,736420,Joe Crawford, SG,2010-2011
Madrid Real Madrid,736420,Othello Hunter, SF,2010-2011
Sacramento Kings,730437,Hassan Whiteside, C,2010-2011
Miami Heat,713666,Erick Dampier, C,2010-2011
San Antonio Spurs,708640,Ime Udoka, SG,2010-2011
Oklahoma City Thunder,679821,Mike Wilks, PG,2010-2011
Toronto Raptors,670000,Solomon Alabi, C,2010-2011
Milwaukee Bucks,668434,Brian Skinner, PF,2010-2011
Philadelphia 76ers,650686,Allen Iverson, SG,2010-2011
Washington Wizards,641141,Alonzo Gee, SF,2010-2011
Memphis Grizzlies,633253,Acie Law, PG,2010-2011
New York Knicks,6.00E+05,Andy Rautins, SG,2010-2011
LA Clippers,567917,Ike Diogu, PF,2010-2011
San Antonio Spurs,525000,Gary Neal, PG,2010-2011
Memphis Grizzlies,524964,Jason Williams, PG,2010-2011
Washington Wizards,515603,Lester Hudson, SG,2010-2011
LA Clippers,5.00E+05,Willie Warren, SG,2010-2011
Cleveland Cavaliers,5.00E+05,Samardo Samuels, PF,2010-2011
Atlanta Hawks,482478,Damien Wilkins, SG,2010-2011
LA Clippers,473604,Patrick Beverley, PG,2010-2011
Phoenix Suns,473604,Gani Lawal, PF,2010-2011
Phoenix Suns,473604,Garret Siler, C,2010-2011
Charlotte Bobcats,473604,Sherron Collins, PG,2010-2011
New York Knicks,473604,Landry Fields, SG,2010-2011
Memphis Grizzlies,473604,Ish Smith, PG,2010-2011
Denver Nuggets,473604,Gary Forbes, F,2010-2011
Cleveland Cavaliers,473604,Semih Erden, C,2010-2011
Utah Jazz,473604,Jeremy Evans, F,2010-2011
Miami Heat,473604,Dexter Pittman, C,2010-2011
Memphis Grizzlies,457588,Derrick Byars, SF,2010-2011
null Unknown,457588,Deron Washington, NA,2010-2011
Toronto Raptors,402065,Peja Stojakovic, SF,2010-2011
San Antonio Spurs,306575,Steve Novak, SF,2010-2011
Washington Wizards,226162,Mustafa Shakur, PG,2010-2011
New York Knicks,221136,Jared Jeffries, PF,2010-2011
Washington Wizards,216110,Mike Bibby, PG,2010-2011
New Jersey Nets,216110,Troy Murphy, PF,2010-2011
Charlotte Bobcats,211084,Dominic McGuire, PF,2010-2011
Dallas Mavericks,211084,Sasha Pavlovic, SG,2010-2011
LA Clippers,211084,Rasual Butler, SF,2010-2011
Washington Wizards,211084,Al Thornton, SF,2010-2011
Portland Trail Blazers,208802,Travis Diener, PG,2010-2011
Memphis Grizzlies,201033,Leon Powe, PF,2010-2011
Miami Heat,196007,Carlos Arroyo, PG,2010-2011
Phoenix Suns,186656,Zabian Dowdell, PG,2010-2011
Charlotte Hornets,168579,Jannero Pargo, PG,2010-2011
Golden State Warriors,133723,Jeff Adrien, SF,2010-2011
Chicago Bulls,130165,John Lucas III, PG,2010-2011
San Antonio Spurs,130022,Danny Green, SG,2010-2011
null Unknown,125000,Da'Sean Butler, NA,2010-2011
Toronto Raptors,112088,Sundiata Gaines, PG,2010-2011
Portland Trail Blazers,88363,Chris Johnson, C,2010-2011
Charlotte Bobcats,80703,Garrett Temple, SG,2010-2011
Cleveland Cavaliers,40375,Cedric Jackson, G,2010-2011
Washington Wizards,35868,Othyus Jeffers, SG,2010-2011
New Orleans Hornets,25073,Patrick Ewing Jr., SF,2010-2011
Utah Jazz,25000,Marcus Cousin, C,2010-2011
Washington Wizards,22287,Larry Owens, SF,2010-2011
New Jersey Nets,20103,Mario West, SG,2010-2011
Houston Rockets,15000,Marqus Blakely, SF,2010-2011
San Antonio Spurs,13930,Robert Vaden, SG,2010-2011
Portland Trail Blazers,11679,Earl Barron, C,2010-2011
Toronto Raptors,8967,Trey Johnson, SG,2010-2011
null Unknown,8358,Magnum Rolle, NA,2010-2011
Los Angeles Lakers,25244493,Kobe Bryant, SF,2011-2012
Orlando Magic,18091770,Dwight Howard, C,2011-2012
Atlanta Hawks,18038573,Joe Johnson, G,2011-2012
Philadelphia 76ers,17823000,Andrei Kirilenko, SF,2011-2012
Miami Heat,17545000,Chris Bosh, PF,2011-2012
Miami Heat,17545000,LeBron James, SF,2011-2012
LA Clippers,16359805,Chris Paul, PG,2011-2012
New Jersey Nets,16359805,Deron Williams, PG,2011-2012
Miami Heat,15691000,Dwyane Wade, SG,2011-2012
Oklahoma City Thunder,15506632,Kevin Durant, SF,2011-2012
Boston Celtics,15333334,Paul Pierce, SF,2011-2012
Boston Celtics,21247044,Kevin Garnett, PF,2011-2012
Memphis Grizzlies,15200000,Zach Randolph, PF,2011-2012
Cleveland Cavaliers,15076715,Antawn Jamison, PF,2011-2012
Memphis Grizzlies,15032144,Rudy Gay, SF,2011-2012
Minnesota Timberwolves,15032144,Brandon Roy, SG,2011-2012
Utah Jazz,1.50E+07,Al Jefferson, C,2011-2012
Los Angeles Lakers,14900000,Andrew Bynum, C,2011-2012
Philadelphia 76ers,14718250,Andre Iguodala, SG,2011-2012
San Antonio Spurs,14107492,Manu Ginobili, G,2011-2012
New Orleans Hornets,14030000,Chris Kaman, C,2011-2012
Portland Trail Blazers,1.40E+07,LaMarcus Aldridge, PF,2011-2012
San Antonio Spurs,21164619,Tim Duncan, C,2011-2012
Chicago Bulls,13500000,Carlos Boozer, PF,2011-2012
New York Knicks,13107837,Tyson Chandler, C,2011-2012
Washington Wizards,1.30E+07,Nene Hilario, C,2011-2012
Memphis Grizzlies,12922194,Marc Gasol, C,2011-2012
New Orleans Hornets,12642500,Emeka Okafor, C,2011-2012
San Antonio Spurs,12500000,Tony Parker, PG,2011-2012
Atlanta Hawks,12498483,Al Horford, C,2011-2012
Atlanta Hawks,12400000,Josh Smith, PF,2011-2012
Chicago Bulls,12325000,Luol Deng, SF,2011-2012
Indiana Pacers,12015904,Danny Granger, SF,2011-2012
Washington Wizards,21136631,Rashard Lewis, PF,2011-2012
Chicago Bulls,1.20E+07,Joakim Noah, C,2011-2012
Dallas Mavericks,19092873,Dirk Nowitzki, PF,2011-2012
Los Angeles Lakers,18714150,Pau Gasol, C,2011-2012
New York Knicks,18518574,Carmelo Anthony, PF,2011-2012
New York Knicks,18217705,Amar'e Stoudemire, C,2011-2012
Philadelphia 76ers,18160355,Elton Brand, PF,2011-2012
Milwaukee Bucks,1.20E+07,Andrew Bogut, C,2011-2012
Phoenix Suns,11689062,Steve Nash, PG,2011-2012
Golden State Warriors,11610000,David Lee, PF,2011-2012
Detroit Pistons,11600000,Ben Gordon, SG,2011-2012
Houston Rockets,11519840,Kevin Martin, SG,2011-2012
Portland Trail Blazers,11227250,Marcus Camby, C,2011-2012
Dallas Mavericks,11158000,Jason Terry, G,2011-2012
Orlando Magic,11015850,Hedo Turkoglu, SF,2011-2012
Milwaukee Bucks,1.10E+07,Monta Ellis, SG,2011-2012
New Jersey Nets,10890000,Mehmet Okur, C,2011-2012
Toronto Raptors,10561982,Jose Calderon, PG,2011-2012
Charlotte Bobcats,10262069,Corey Maggette, SF,2011-2012
Dallas Mavericks,10121000,Jason Kidd, PG,2011-2012
LA Clippers,10079404,DeAndre Jordan, C,2011-2012
Boston Celtics,10045454,Rajon Rondo, PG,2011-2012
Boston Celtics,1.00E+07,Ray Allen, SG,2011-2012
Toronto Raptors,1.00E+07,Andrea Bargnani, C,2011-2012
Indiana Pacers,1.00E+07,David West, F,2011-2012
Portland Trail Blazers,9500000,Gerald Wallace, SF,2011-2012
LA Clippers,9500000,Cuttino Mobley, SG,2011-2012
Utah Jazz,9319000,Devin Harris, PG,2011-2012
San Antonio Spurs,9282000,Richard Jefferson, F,2011-2012
Golden State Warriors,9.00E+06,Andris Biedrins, C,2011-2012
Dallas Mavericks,8900000,Lamar Odom, PF,2011-2012
Utah Jazz,8603633,Paul Millsap, PF,2011-2012
Orlando Magic,8600000,Jameer Nelson, G,2011-2012
Houston Rockets,8591793,Luis Scola, F,2011-2012
New Orleans Hornets,8500000,Carl Landry, PF,2011-2012
Detroit Pistons,8500000,Rodney Stuckey, PG,2011-2012
LA Clippers,8500000,Mo Williams, PG,2011-2012
Sacramento Kings,8083000,John Salmons, SF,2011-2012
Philadelphia 76ers,8039130,Thaddeus Young, PF,2011-2012
Dallas Mavericks,8022449,Shawn Marion, SG,2011-2012
New Jersey Nets,8.00E+06,Kris Humphries, PF,2011-2012
LA Clippers,8.00E+06,Caron Butler, SF,2011-2012
Atlanta Hawks,8.00E+06,Kirk Hinrich, SG,2011-2012
Miami Heat,7967375,Mark Blount, C,2011-2012
Denver Nuggets,7807728,Andre Miller, PG,2011-2012
Denver Nuggets,7750000,Arron Afflalo, G,2011-2012
Cleveland Cavaliers,7700000,Anderson Varejao, C,2011-2012
Oklahoma City Thunder,6665000,Morris Peterson, SG,2011-2012
Philadelphia 76ers,6650000,Andres Nocioni, SF,2011-2012
Memphis Grizzlies,6611571,Mike Conley, PG,2011-2012
Chicago Bulls,6600000,Jerome James, C,2011-2012
Portland Trail Blazers,6505320,Wesley Matthews, SG,2011-2012
Phoenix Suns,6500000,Grant Hill, SF,2011-2012
Phoenix Suns,6500000,Josh Childress, F,2011-2012
Washington Wizards,6442083,Andray Blatche, C,2011-2012
New York Knicks,6322320,Rasheed Wallace, PF,2011-2012
Orlando Magic,6300000,Glen Davis, PF,2011-2012
Detroit Pistons,6292135,Tayshaun Prince, SF,2011-2012
Minnesota Timberwolves,6262347,Michael Beasley, SF,2011-2012
Denver Nuggets,6226200,Al Harrington, PF,2011-2012
Milwaukee Bucks,6226200,Drew Gooden, PF,2011-2012
Boston Celtics,6226200,Jermaine O'Neal, C,2011-2012
Sacramento Kings,6100000,Francisco Garcia, SG,2011-2012
Toronto Raptors,6.00E+06,Amir Johnson, C,2011-2012
Phoenix Suns,6.00E+06,Channing Frye, F,2011-2012
Los Angeles Lakers,5971363,Luke Walton, SF,2011-2012
Houston Rockets,5750000,Kyle Lowry, PG,2011-2012
LA Clippers,5731080,Blake Griffin, PF,2011-2012
Dallas Mavericks,7624500,Brendan Haywood, C,2011-2012
Toronto Raptors,7600000,Leandro Barbosa, G,2011-2012
Indiana Pacers,7595600,James Posey, SF,2011-2012
Portland Trail Blazers,7560000,Raymond Felton, PG,2011-2012
Detroit Pistons,7540000,Charlie Villanueva, PF,2011-2012
Sacramento Kings,7525000,Marcus Thornton, SG,2011-2012
Atlanta Hawks,7500000,Marvin Williams, PF,2011-2012
Charlotte Bobcats,7305785,Tyrus Thomas, PF,2011-2012
Phoenix Suns,7258960,Marcin Gortat, C,2011-2012
Oklahoma City Thunder,7123626,Kendrick Perkins, C,2011-2012
Brooklyn Nets,7100000,Marko Jaric, PG,2011-2012
Houston Rockets,7.00E+06,Samuel Dalembert, C,2011-2012
Chicago Bulls,6993708,Derrick Rose, PG,2011-2012
Milwaukee Bucks,6925400,Beno Udrih, PG,2011-2012
Charlotte Bobcats,6925400,DeSagana Diop, C,2011-2012
New Orleans Hornets,6790640,Trevor Ariza, SF,2011-2012
Los Angeles Lakers,6790640,Metta World Peace, SF,2011-2012
Orlando Magic,6750000,JJ Redick, SG,2011-2012
Golden State Warriors,6750000,Kwame Brown, C,2011-2012
Memphis Grizzlies,5632637,O.J. Mayo, SG,2011-2012
Bilbao Basket Bilbao Basket,5543116,Nenad Krstic, C,2011-2012
Washington Wizards,5530080,John Wall, PG,2011-2012
Denver Nuggets,5516664,Wilson Chandler, SF,2011-2012
Sacramento Kings,5486250,Chuck Hayes, PF,2011-2012
New York Knicks,5475113,Sasha Vujacic, SG,2011-2012
Miami Heat,5400000,Mike Miller, SG,2011-2012
Orlando Magic,5395000,Jason Richardson, SG,2011-2012
Philadelphia 76ers,5293080,Evan Turner, SG,2011-2012
Minnesota Timberwolves,5256000,Martell Webster, SF,2011-2012
Sacramento Kings,5251825,Tyreke Evans, SG,2011-2012
San Antonio Spurs,5220000,Antonio McDyess, PF,2011-2012
Atlanta Hawks,5209454,Speedy Claxton, PG,2011-2012
Philadelphia 76ers,5176000,Lou Williams, SG,2011-2012
Cleveland Cavaliers,5144280,Kyrie Irving, PG,2011-2012
Portland Trail Blazers,5127720,Hasheem Thabeet, C,2011-2012
Oklahoma City Thunder,5082416,Russell Westbrook, PG,2011-2012
Portland Trail Blazers,5.00E+06,Jamal Crawford, SG,2011-2012
Detroit Pistons,5.00E+06,Jason Maxiell, PF,2011-2012
New Orleans Hornets,5.00E+06,Jarrett Jack, G,2011-2012
New Orleans Pelicans,4847586,Marcus Banks, PG,2011-2012
Philadelphia 76ers,4818000,Darius Songaila, PF,2011-2012
Minnesota Timberwolves,4776500,Darko Milicic, C,2011-2012
Utah Jazz,4753320,Derrick Favors, PF,2011-2012
Minnesota Timberwolves,4752000,Brad Miller, C,2011-2012
Atlanta Hawks,4750000,Zaza Pachulia, C,2011-2012
Chicago Bulls,4710000,Ronnie Brewer, SF,2011-2012
Minnesota Timberwolves,4609701,Kevin Love, PF,2011-2012
Oklahoma City Thunder,4604760,James Harden, PG,2011-2012
Minnesota Timberwolves,4602720,Derrick Williams, PF,2011-2012
Toronto Raptors,4600000,Linas Kleiza, SF,2011-2012
Minnesota Timberwolves,4503600,Nikola Pekovic, C,2011-2012
Detroit Pistons,4500000,Jonas Jerebko, PF,2011-2012
Washington Wizards,4455988,Jeff Green, SF,2011-2012
Cleveland Cavaliers,4403834,Daniel Gibson, SG,2011-2012
Utah Jazz,4319280,Enes Kanter, C,2011-2012
Minnesota Timberwolves,4300000,J.J. Barea, PG,2011-2012
Los Angeles Lakers,4257973,Ramon Sessions, G,2011-2012
LA Clippers,4250000,Randy Foye, SG,2011-2012
Phoenix Suns,4250000,Jared Dudley, SF,2011-2012
Boston Celtics,4250000,Brandon Bass, PF,2011-2012
Denver Nuggets,4234000,Chris Andersen, PF,2011-2012
Denver Nuggets,4190182,Danilo Gallinari, SF,2011-2012
San Antonio Spurs,4100000,Bruce Bowen, SF,2011-2012
Golden State Warriors,4099920,Charlie Bell, SG,2011-2012
Memphis Grizzlies,4080915,Greg Buckner, SG,2011-2012
Miami Heat,4060000,Udonis Haslem, PF,2011-2012
Philadelphia 76ers,4051024,Spencer Hawes, PF,2011-2012
Minnesota Timberwolves,4006080,Wesley Johnson, SF,2011-2012
New Jersey Nets,4.00E+06,Jordan Farmar, PG,2011-2012
Miami Heat,4.00E+06,Mario Chalmers, G,2011-2012
LA Clippers,4.00E+06,Ryan Gomes, SF,2011-2012
San Antonio Spurs,3944000,Tiago Splitter, C,2011-2012
Charlotte Bobcats,3900000,Matt Carroll, SG,2011-2012
Sacramento Kings,3880800,DeMarcus Cousins, C,2011-2012
New Orleans Hornets,3831184,Eric Gordon, SG,2011-2012
Golden State Warriors,3823000,Dorell Wright, SF,2011-2012
Oklahoma City Thunder,3750000,Nazr Mohammed, C,2011-2012
Milwaukee Bucks,3750000,Mike Dunleavy, SG,2011-2012
Cleveland Cavaliers,3726600,Tristan Thompson, C,2011-2012
Utah Jazz,3700000,CJ Miles, SF,2011-2012
Miami Heat,3700000,Joel Anthony, PF,2011-2012
